obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.6035982,173,242,55,58.32959
0.7793067,184,164,87,117.27
0.6998352,165,139,80,79.38037
0.535998,243,223,82,32.6499
0.7439475,228,129,84,59.52979
0.9052306,112,184,61,26.45996
0.5850223,181,196,61,33.03027
0.9947423,231,228,42,39.46973
0.3020578,121,181,78,31.5498
0.2446925,189,119,51,15.66992
0.774249,148,116,59,177.1597
0.3009357,175,157,63,129.7603
0.3361683,101,254,76,24.86963
0.1633552,253,125,50,22.22998
0.3713162,226,117,65,314.29
0.5061803,204,183,83,51.52002
0.1799269,145,109,36,161.2695
0.9692473,240,148,71,42.91016
0.6054251,189,118,55,146.0601
0.5316395,198,146,61,117.7402
0.2344339,177,190,82,181.46
0.794719,110,105,78,171.1201
0.8936279,132,116,38,119.2695
0.3828289,182,239,79,40.87988
0.6049173,139,229,57,57.11035
0.7726102,209,248,61,19.41992
0.3258345,226,238,87,35.56934
0.3744132,117,108,35,55.93945
0.7442259,130,132,81,161.6797
0.8198744,146,226,36,363.3799
0.43802,111,118,55,111.0703
0.1344626,192,103,83,12.01953
0.2147827,189,241,43,144.9805
0.6012296,173,245,44,100.6396
0.6859449,243,114,59,38.86035
0.5332694,185,243,35,218.8594
0.9266435,187,229,83,33.01074
0.9334227,200,114,87,134.9902
0.8232123,239,227,72,28.91992
0.1917795,205,161,36,25.75
0.5918965,139,177,82,188.8398
0.6756311,136,192,42,93.29004
0.6125703,115,136,85,176.6699
0.830128,196,106,52,66.55957
0.694854,194,170,57,58.23926
0.187691,172,123,83,21.34082
0.8698842,142,157,63,125.6895
0.9315362,177,104,87,99.06055
0.5132508,176,174,54,107.5703
0.9242438,184,142,51,58.15918
0.6353709,196,192,81,224.7305
0.2300449,217,250,54,198.2695
0.5371963,136,178,81,65.83984
0.4033982,101,249,55,30.03027
0.334388,216,219,39,38.12988
0.553563,234,217,49,35.25
0.7041507,225,182,70,36.16016
0.7483469,215,156,32,69.15039
0.2665377,201,242,47,55.85059
0.4072084,189,105,58,55.37988
0.8457597,184,215,75,67.5498
0.8413216,127,193,80,32.17969
0.8803397,186,136,68,57.95996
0.649964,179,252,34,40.7998
0.9865025,186,254,60,46.63965
0.7240748,230,239,58,132.9297
0.3217086,223,197,48,201.9902
0.5947835,185,126,78,84.02051
0.329418,108,244,34,79.55957
0.2926407,245,151,88,43.82031
0.1459387,240,155,42,10.75
0.2762983,240,222,59,81.83984
0.5886283,151,209,61,28.92969
0.3153436,162,185,60,50.19922
0.8102792,147,243,30,133.3008
0.8492564,149,135,83,16.19922
0.8316106,238,119,71,32.21094
0.2314166,200,106,37,36.29883
0.4045361,206,221,51,82.50977
0.2144097,174,190,49,30.36914
0.446101,203,211,33,185.0293
0.2218773,205,193,73,105.5215
0.4313418,144,186,89,63.86133
0.3463395,148,200,47,113.2402
0.2282014,126,233,59,8.478516
0.3025302,162,211,79,21.58984
0.4600246,224,253,43,312.1016
0.4603453,124,189,85,278.6797
0.1877851,243,134,84,29.59961
0.2591102,250,178,89,80.83008
0.5041013,126,155,73,68.09961
0.8199399,122,192,82,36.80078
0.8224627,107,107,61,50.99023
